"Not paid ",true,"             Our mission here at TCRC is to assist different services to citizens in the transition from incarceration to society. We provide social, legal, drug & alcohol rehabilitation, mental health, mediation,&#8230;         ","Philadelphia, PA ","             Application Deadline:   Available Year-round 
                     ",/criminal-justice/Criminal-Justice-I515196,"Unpaid Internship Criminal Justice Job at The center for returning citizens in Philadelphia, PA","Part Time"
"Not paid ",false,"             Are you a passionate social media writer and enjoy helping people? PEPS Private Investigator is Passionate about Helping People and is looking for Social Media Blogger to help spread the word. If you &#8230;         ","Virtual ","             Application Deadline:   Available Year-round 
                     ",/criminal-justice/Criminal-Justice-Major-and-Blogger,"Criminal Justice Major and Blogger  Job at PEPS Private Investigator in Virtual","Part Time"
"Not paid ",false,"             Companions Journeying Together (CJT) provides a forum to personally impact the emotional, spiritual, and social lives of the incarcerated and their families. Our vision is for a society that lives by &#8230;         ","Virtual ","             Application Deadline:   Available Year-round 
                     ",/criminal-justice/Criminal-Justice-Media-Office-Internship,"Criminal Justice Internship in the Chicago Area Job at Companions Journeying Together in Virtual","Part Time"
"Not paid ",false,"             Are you a passionate about criminal justice, investigative reporting, private detective work? Are you interested in social media writer and enjoy helping people? VOIF is Passionate about Helping fraud&#8230;         ","Frederick, MD ","             Application Deadline:   Available Year-round 
                     ",/political-science/Criminal-Justice-Private-Investigator-Internship,"Criminal Justice - Private Investigator Internship Job at VOIF in Frederick, MD","Part Time"
"Not paid ",false,"              Job Summary The Molina Healthcare Internship Program shares an objective to create a stepping stone for students and alumni who aim to be professionals and future leaders in the healthcare business p&#8230;         ","Albuquerque, NM ","             Application Deadline:   Available Year-round 
                     ",/posting/Internship-Undergraduate-Freshman-to-Junior-Compliance-Department-Legal-Paralegal-Crim-I1692346106,"Internship - (Undergraduate Freshman to Junior) - Compliance Department, Legal, Paralegal, Criminal Justice, English Job at Molina Healthcare in Albuquerque, NM","Part Time"
"Not paid ",false,"             JWP & Associates is looking for innovated and passionate about law and Criminal Justice to be apart of our growing firm.          ","Clinton Township, MI ","             Application Deadline:   Available Year-round 
                     ",/criminal-justice/Legal-Assistant-I3360535,"Legal Assistant Job at JWP &amp; Associates  in Clinton Township, MI","Part Time"
"Not paid ",false,"             Strider Labs researches the major crimes and identifies new solutions using technology and ""citizen tactics"". Our primary focus is safety from violence, especially for women. Strider Films is creating&#8230;         ","Virtual ","             Application Deadline:   Available Year-round 
                     ",/criminal-justice/Security-Research-Intern,"Security Research Intern Job at STRIDER in Virtual","Part Time"
"Not paid ",false,"             Mission Statement: To provide quality and humane chemical dependency treatment and community corrections services to clients while contributing to safer communities. Dont miss an opportunity to comple&#8230;         ","Akron, OH ","             Application Deadline:   Available Year-round 
                     ",/criminal-justice/Intern-unpaid,"Intern (unpaid) Job at Oriana House in Akron, OH","Part Time"
"Not paid ",false,"             The District of Columbias Office of Police Complaints (OPC) is seeking several enthusiastic and dedicated college interns for internships. OPC is a District of Columbia government agency that receives&#8230;         ","Washington, DC ","             Application Deadline:   Available Year-round 
                     ",/criminal-justice/Year-Round-College-Student-Internships,"Washington, DC Office of Police Complaints - Year Round College Student Internships Job at D.C. Gov. Office of Police Complaints in Washington, DC","Part Time"
"Not paid ",false,"             The Crime Stoppers GreaterAtlanta internship program is designed to educate and involve students and recent graduates in crime prevention and interest them in public safety careers. While gaining know&#8230;         ","Atlanta, GA ","             Application Deadline:   Available Year-round 
                     ",/criminal-justice/Crime-Stoppers-Atlanta-Intern,"Crime Stoppers Atlanta Intern Job at Crime Stoppers Greater Atlanta in Atlanta, GA","Part Time"
"Paid Opportunity",false,"             Matt Talbot Recovery Services is recruiting Direct Supervision Escorts, and Chaperones in Green Bay, Milwaukee, Eau Claire, Rhinelander, and Poynette (Wisconsin). The individuals providing this servic&#8230;         ","Milwaukee, WI ","             Application Deadline:   Available Year-round 
                     ",/criminal-justice/Direct-Supervision-Escort,"Direct Supervision Escort Job at Horizon Healthcare, Inc in Milwaukee, WI","Part Time"
"Not paid ",false,"             Paul J. Ciolino & Associates, a private detective agency based in Chicago, specializes in complex criminal defense and fraud investigations. Ciolino's participation in wrongful conviction investigatio&#8230;         ","Virtual ","             Application Deadline:   Available Year-round 
                     ",/criminal-justice/Private-InvestigatorSocial-Justice-Internship,"Private Investigator/Social Justice Internship Job at Bella Luma Films in Virtual","Part Time"
