"Not paid ",false,"             Terrific opportunity to get in on the ground floor of an aggressively expanding personal injury law firm. No experience required as we want to train all new staff members. If you are an unemployed law&#8230;         ","Pittsburgh, PA ","             Application Deadline:   Available Year-round 
                     ",/legal/Legal-Intern-to-Top-Trial-Lawyer-I7092387,"Legal Intern to Top Trial Lawyer Job at Romanow Law Group in Pittsburgh, PA","Full Time"
"Paid Opportunity",false,"             Citizens Against Abusive Power Systems, Inc. (CAAPS) is a 501(c)(3) non-profit Civil and Human Rights activist organization dedicated to the fight against abuse and corruption. We are committed to: in&#8230;         ","Clifton Heights, PA ","             Application Deadline:   Available Year-round 
                     ",/legal/Legal-Researcher-Internship-Law-Student-Volunteer-Law-Service-from-Lawyer,"Legal Researcher Internship (Law Student, Volunteer Law Service from Lawyer) Job at CAAPS in Clifton Heights, PA","Part Time"
"Not paid ",false,"             Advantage Legal Group (www.advantagelegalgroup.com) is a successful recognized Law Firm that specialized in Bankruptcy, Mortgage Mediation and Modification as well as Real Estate Short Sales in the St&#8230;         ","Bellevue, WA ","             Application Deadline:   Available Year-round 
                     ",/legal/Law-Real-Estate-Mediation-Internship,"Law &amp; Real Estate Mediation Internship Job at Advantage Legal Group in Bellevue, WA","Full Time"
"Not paid ",false,"             Advantage Legal Group (www.advantagelegalgroup.com) is a successful recognized Law Firm that specialized in Bankruptcy, Mortgage Mediation and Modification as well as Real Estate Short Sales in the St&#8230;         ","Bellevue, WA ","             Application Deadline:   Available Year-round 
                     ",/legal/Real-Estate-Mediation-Internship,"Law &amp; Real Estate Mediation Internship Job at Advantage Legal Group in Bellevue, WA","Full Time"
"Not paid ",true,"             Assist with a host of legal documentations and reviews for our social media site, digital media, intellectual properties, etc. trust accounts, company policies, etc. LFL Records ltd. www.lflrecords.co&#8230;         ","Virtual ","             Application Deadline:   Available Year-round 
                     ",/legal/Paralegal-I1251440,"Paralegal  Job at Lfl Records ltd. in Virtual","Part Time"
"Paid Opportunity",false,"             We are looking for a Paralegal/Legal Assistant for boutique law office located 1/2 block from DuPont Circle. Great opportunity for upward growth. Our area of practice is Real Estate, Project Developme&#8230;         ","Washington, DC ","             Application Deadline:   Available Year-round 
                     ",/legal/ParalegalLegal-Assistant-I3590108,"Paralegal/Legal Assistant Job at GRIFFIN, MURPHY, MOLDENHAUER &amp; WIGGINS, LLP in Washington, DC","Full Time"
"Not paid ",true,"             Over loaded sole practitioner, whose long time right hand assistant is on extended medical leave, is looking for motivated, self starting law students or paralegal studies students who want practical &#8230;         ","Malden, MA ","             Application Deadline:   Available Year-round 
                     ",/legal/Law-ClerkParalegal,"Law Clerk/Paralegal  Job at Fulgione Law Office PC in Malden, MA","Part Time"
"Not paid ",false,"             Attorney assisted legal office providing services to the public preparing family law documents for Divorce, Custody, Visitation, Child Support, Paternity, Bankruptcy, etc.         ","Carson, CA ","             Application Deadline:   Available Year-round 
                     ",/legal/PARALEGALLEGAL-ASSISTANCE-I5679500,"PARALEGAL/LEGAL ASSISTANCE Job at ELITE LEGAL in Carson, CA","Part Time"
"Not paid ",false,"             Samini Scheinberg is a boutique law firm with its main office in Newport Beach, CA. Our attorneys specialize in corporate, real estate, immigration and financial restructuring matters both in the tran&#8230;         ","Newport Beach, CA ","             Application Deadline:   Available Year-round 
                     ",/legal/Law-School-Graduate-Internship,"Attorney Internship for Juris Doctor, Recent Law School Graduate  Job at Samini Scheinberg PC in Newport Beach, CA","Full Time"
"Not paid ",false,"             Law office specializing in personal injury, immigration, divorce and criminal matters. We are located in the Southwest side of Houston, Texas looking for a paralegal or legal assistant intern. With th&#8230;         ","Houston, TX ","             Application Deadline:   Available Year-round 
                     ",/legal/ParalegalLegal-Assistant-INTERN-I6624995,"Paralegal/Legal Assistant INTERN Job at GN LAWRENCE LAW FIRM, PLLC. in Houston, TX","Full Time"
"Not paid ",false,"             Law Firm seeking pre-law student for research and drafting of legal papers.         ","Brookfield, WI ","             Application Deadline:   Available Year-round 
                     ",/legal/ParalegalPrelaw,"Paralegal/Pre-law Job at Law Offices of Maxwell Charles Livingston in Brookfield, WI","Part Time"
