"Paid Opportunity",false,"             The position is for a structural engineering student that has some experience with building engineering. Incumbent will design stabilizing supports for subflooring in a residential building in Clearwa&#8230;         ","Clearwater, FL ","             Application Deadline:   Available Year-round 
                     ",/engineering/Structural-Engineering-I330568,"Structural Engineering Job at PASERS FUND HOLDINGS LLC in Clearwater, FL","Part Time"
"Paid Opportunity",false,"             We are looking for an engineering intern to work with our team members at our organization. You will enhance your skills. We are looking for you if you have great math and people skills. Apply now. We&#8230;         ","Boston, MA ","             Application Deadline:   Available Year-round 
                     ",/engineering/Gustr-Institute-Engineering-Intern,"Gustr Institute Engineering Intern  Job at Gustr Institute of Finance in Boston, MA","Full Time"
"Paid Opportunity",false,"             Future Facilities is expanding and therefore the vacancy of Engineering Intern has become available. In return Future Facilities offers a varied role with an exciting array of opportunities emerging a&#8230;         ","San Jose, CA ","             Application Deadline:   7/31/2015 
                     ",/engineering/Engineering-Intern-I2823936,"Engineering Intern Job at Future Facilities Inc in San Jose, CA","Part Time"
"Not paid ",false,"             COMPANY DESCRIPTION Molt, LLC is an American company that designs and manufactures solar products that have applications across different industries. Our products can generate savings in operating cos&#8230;         ","Miami, FL ","             Application Deadline:   Available Year-round 
                     ",/engineering/Solar-Equipment-Manufacturing-Electrical-Engineering-Internship-I1318261,"Solar Equipment Manufacturing - Electrical Engineering Internship Job at Molt, LLC in Miami, FL","Part Time"
"Paid Opportunity",false,"             Position Description Summary: Student will primarily help with DC, AC and RF characterization of active and passive devices at the wafer level. After gaining some experience, he / she will help establ&#8230;         ","Newport Beach, CA ","             Application Deadline:   6/30/2015 
                     ",/engineering/Device-Engineering-Intern-RD,"Device Engineering Intern - R&amp;D Job at TowerJazz Semiconductors in Newport Beach, CA","Part Time"
"Not paid ",false,"             COMPANY DESCRIPTION Molt, LLC is an American company that designs and manufactures solar products that have applications across different industries. Our products can generate savings in operating cos&#8230;         ","Miami, FL ","             Application Deadline:   Available Year-round 
                     ",/engineering/Solar-Equipment-Manufacturing-Mechanical-Engineering-Internship-I9507770,"Solar Equipment Manufacturing - Mechanical Engineering Internship Job at Molt, LLC in Miami, FL","Part Time"
"Paid Opportunity",false,"             Gain hands-on engineering experience working on a marketing, exploration, production or refinery project, ranging from field support to detailed technology support.         ","New York, NY ","             Application Deadline:   Available Year-round 
                     ",/engineering/Engineering-Intern-I3689706,"Engineering Intern Job at ICN Group in New York, NY","Full Time"
"Paid Opportunity",false,"             We are a family owned business for over 45 years with 3 Florida locations but this internship will be mainly out of our Bartow location. We specialize in process engineering and sales/service of vario&#8230;         ","Bartow, FL ","             Application Deadline:   Available Year-round 
                     ",/engineering/EngineeringSales-Waste-Water-Treatment-Internship,"Engineering/Sales Waste Water Treatment Internship Job at Arroyo Process Equipment Inc. in Bartow, FL","Full Time"
"Paid Opportunity",false,"             Marketing Consultants of Orlando provides highly motivated and qualified students an opportunity to gain first-hand experience, receive valuable on-the-job training and learn about the many technology&#8230;         ","Orlando, FL ","             Application Deadline:   Available Year-round 
                     ",/engineering/IT-Technology-Fiber-Optics-Innovation-Competitive-Full-Time-Tech-Sales-Internship-I2906416,"IT / Technology / Engineering - Innovation - Competitive - Full Time Tech Sales Internship Job at Marketing Consultants of Orlando in Orlando, FL","Full Time"
"Paid Opportunity",false,"             Jernberg Industries, the largest high carbon steel forging manufacturing plant in the Chicagoland area, has exciting summer internship opportunities for those individuals who are seeking to gain addit&#8230;         ","Chicago, IL ","             Application Deadline:   6/30/2015 
                     ",/engineering/Engineering-InternCoOP,"Operations Intern/Co-OP Job at Jernberg Industries in Chicago, IL","Full Time"
